k1,k2,S(MAC^7 k1 k2),R1,R2
4.0,46.0,1.0,0.2857142857142857,0.7890802794367161
4.0,47.0,1.0,0.2857142857142857,0.7935126930968054
4.0,48.0,1.0,0.2857142857142857,0.7978517858173081
4.0,49.0,1.0,0.2857142857142857,0.8021014063021726
4.0,50.0,1.0,0.2857142857142857,0.8062651699678177
4.0,51.0,1.0,0.2857142857142857,0.8103464774244994
4.0,52.0,1.0,0.2857142857142857,0.8143485311630132
4.0,53.0,1.0,0.2857142857142857,0.8182743506518857
4.0,54.0,1.0,0.2857142857142857,0.8221267860233528
4.0,55.0,1.0,0.2857142857142857,0.8259085305035229
4.0,56.0,1.0,0.2857142857142857,0.8296221317225151
4.0,57.0,1.0,0.2857142857142857,0.8332700020235346
4.0,58.0,1.0,0.2857142857142857,0.8368544278753675
4.0,59.0,1.0,0.2857142857142857,0.8403775784802631
4.0,60.0,1.0,0.2857142857142857,0.8438415136583598
4.0,61.0,1.0,0.2857142857142857,0.8472481910804124
4.0,62.0,1.0,0.2857142857142857,0.8505994729124108
4.0,63.0,1.0,0.2857142857142857,0.8538971319285595
4.0,64.0,1.0,0.2857142857142857,0.8571428571428571
4.0,65.0,1.0,0.2857142857142857,0.8603382590040649
4.0,66.0,1.0,0.2857142857142857,0.8634848741940647
4.0,67.0,1.0,0.2857142857142857,0.866584170065396
4.0,68.0,1.0,0.2857142857142857,0.8696375487500486
4.0,69.0,1.0,0.2857142857142857,0.8726463509683101
4.0,70.0,1.0,0.2857142857142857,0.8756118595635668
4.0,71.0,1.0,0.2857142857142857,0.8785353027863831
4.0,72.0,1.0,0.2857142857142857,0.8814178573489018
4.0,73.0,1.0,0.2857142857142857,0.8842606512685739
4.0,74.0,1.0,0.2857142857142857,0.8870647665184216
4.0,75.0,1.0,0.2857142857142857,0.8898312414994115
4.0,76.0,1.0,0.2857142857142857,0.8925610733490837
4.0,77.0,1.0,0.2857142857142857,0.8952552200992717
4.0,78.0,1.0,0.2857142857142857,0.8979146026946071
4.0,79.0,1.0,0.2857142857142857,0.9005401068824433
4.0,80.0,1.0,0.2857142857142857,0.9031325849839088
4.0,81.0,1.0,0.2857142857142857,0.9056928575549464
4.0,82.0,1.0,0.2857142857142857,0.9082217149454408
4.0,83.0,1.0,0.2857142857142857,0.9107199187638464
4.0,84.0,1.0,0.2857142857142857,0.9131882032541084
4.0,85.0,1.0,0.2857142857142857,0.9156272765911004
4.0,86.0,1.0,0.2857142857142857,0.9180378221002996
4.0,87.0,1.0,0.2857142857142857,0.9204204994069612
4.0,88.0,1.0,0.2857142857142857,0.922775945519614
4.0,89.0,1.0,0.2857142857142857,0.9251047758523424
4.0,90.0,1.0,0.2857142857142857,0.9274075851899536
4.0,91.0,1.0,0.2857142857142857,0.9296849485998138
4.0,92.0,1.0,0.2857142857142857,0.931937422293859
4.0,93.0,1.0,0.2857142857142857,0.9341655444440046
4.0,94.0,1.0,0.2857142857142857,0.9363698359539482
4.0,95.0,1.0,0.2857142857142857,0.9385508011901356
4.0,96.0,1.0,0.2857142857142857,0.9407089286744508
4.0,97.0,1.0,0.2857142857142857,0.9428446917410184
4.0,98.0,1.0,0.2857142857142857,0.9449585491593157
4.0,99.0,1.0,0.2857142857142857,0.9470509457256584
4.0,100.0,1.0,0.2857142857142857,0.9491223128249608
4.0,101.0,1.0,0.2857142857142857,0.9511730689645422
